trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",20,0,-53.28616356416721,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",30,2,-92.84232170247468,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 2}",1
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",30,0,-106.2232758741759,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",20,5,-111.04865654716276,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 2}",1
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",25,0,3.0990762579897533,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",20,13,7.972784120656227,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",25,13,-23.571459969206554,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",25,3,-9.584048584926979,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",20,0,4.3106423070631985,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",20,0,23.809070328043138,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,13,11.739067340145983,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",20,15,9.860163145348686,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",20,0,31.398130496372,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",30,4,-47.026420937586735,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 2}",1
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",25,4,27.26788529520649,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",25,9,-16.43142745853429,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",20,8,21.42182161467447,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",20,15,5.5531039116406165,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",25,3,-51.0073740539264,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",30,12,-9.877974719895347,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'e': 0, 'a': 0}",20,0,-13.602274554435256,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'e': 0, 'a': 0}",20,0,29.470315387097617,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'e': 0, 'a': 0}",25,11,-8.897795367337743,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
4,True,"{'e': 0, 'a': 0}",25,12,23.518550967669345,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",25,13,-23.93993265947649,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 0}",1
6,True,"{'e': 0, 'a': 0}",20,0,26.021738289013637,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'e': 0, 'a': 0}",25,0,-7.762854612576039,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'e': 0, 'a': 0}",20,0,-37.40753923471796,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,True,"{'e': 0, 'a': 0}",30,18,16.60411336927562,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0, 'a': 0}",35,17,32.629519636608585,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
