trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.99}",35,0,-55.965236242247016,"{0: 18, 1: 17, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0.9801}",30,0,-46.385034433637465,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.8, 'e': 0.9702989999999999}",20,0,-37.66350407031235,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.96059601}",20,0,-41.523009168311795,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.8, 'e': 0.9509900498999999}",30,0,-64.94074128027573,"{0: 14, 1: 15, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.9414801494009999}",25,0,-22.703416273660544,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.8, 'e': 0.9320653479069899}",20,0,-46.78115367987187,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.8, 'e': 0.92274469442792}",25,0,-9.367230496666124,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.8, 'e': 0.9135172474836407}",20,0,-41.03544650911279,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.9043820750088043}",25,0,-59.40262407213082,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.8953382542587163}",20,0,-5.587431128214543,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.8863848717161291}",20,0,-84.79371089790808,"{0: 7, 1: 12, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.8775210229989678}",20,0,-35.54578130508367,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.8687458127689781}",20,0,-12.128515734371927,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0.8600583546412883}",25,0,-44.54734004727449,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.8, 'e': 0.8514577710948754}",20,0,-74.04868659060213,"{0: 10, 1: 9, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.8, 'e': 0.8429431933839266}",25,0,-39.6235001848275,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.8, 'e': 0.8345137614500874}",20,0,-34.29758963389992,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.8, 'e': 0.8261686238355865}",30,0,-42.25136863798864,"{0: 18, 1: 12, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.8, 'e': 0.8179069375972307}",30,0,-39.48612600871585,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.8, 'e': 0.8097278682212583}",35,0,-10.211220539500976,"{0: 25, 1: 10, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.8, 'e': 0.8016305895390458}",20,0,-27.34447350074295,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.8, 'e': 0.7936142836436553}",35,0,-54.66168763833324,"{0: 20, 1: 15, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.8, 'e': 0.7856781408072188}",35,0,-64.70261986643409,"{0: 19, 1: 16, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.8, 'e': 0.7778213593991465}",20,0,-51.565818895676344,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.8, 'e': 0.7700431458051551}",20,0,-22.580637585430903,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.8, 'e': 0.7623427143471035}",20,0,-15.711834097552636,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.8, 'e': 0.7547192872036325}",20,0,3.474480489898637,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.8, 'e': 0.7471720943315961}",25,0,-38.473657565424766,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.8, 'e': 0.7397003733882802}",25,0,-9.18046781424766,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.8, 'e': 0.7323033696543974}",25,0,-25.133378588516244,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.8, 'e': 0.7249803359578534}",30,0,-86.50737847444688,"{0: 15, 1: 14, 2: 0, 3: 0, 4: 1}",0
33,False,"{'a': 0.8, 'e': 0.7177305325982748}",25,0,-39.13652603903654,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
