trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",20,0,-132.77231222414443,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
2,False,"{'e': 1.0, 'a': 0.5}",25,0,-113.29568799703054,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
3,False,"{'e': 1.0, 'a': 0.5}",20,0,-94.49580167280392,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
4,False,"{'e': 1.0, 'a': 0.5}",25,0,-217.14481604303987,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
5,False,"{'e': 1.0, 'a': 0.5}",35,0,-86.80397255639367,"{0: 23, 1: 7, 2: 4, 3: 0, 4: 1}",0
6,False,"{'e': 1.0, 'a': 0.5}",25,0,-113.43586904465565,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
7,False,"{'e': 1.0, 'a': 0.5}",25,0,-131.89547820477551,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 3}",0
8,False,"{'e': 1.0, 'a': 0.5}",25,0,-104.66024371651163,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
9,False,"{'e': 1.0, 'a': 0.5}",30,0,-111.76731223355024,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
10,False,"{'e': 1.0, 'a': 0.5}",25,0,-195.7341202094519,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
11,False,"{'e': 1.0, 'a': 0.5}",25,0,-112.50174781395457,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
12,False,"{'e': 1.0, 'a': 0.5}",20,0,-42.97403473497341,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'e': 1.0, 'a': 0.5}",30,0,-68.77835750211634,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
14,False,"{'e': 1.0, 'a': 0.5}",20,0,-123.15998227807141,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
15,False,"{'e': 1.0, 'a': 0.5}",20,0,-146.16574689397189,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
16,False,"{'e': 1.0, 'a': 0.5}",20,5,-29.21532173869511,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
17,False,"{'e': 1.0, 'a': 0.5}",30,0,-116.80126392575849,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
18,False,"{'e': 1.0, 'a': 0.5}",30,0,-190.20472116355066,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
19,False,"{'e': 1.0, 'a': 0.5}",20,0,-155.9090238514995,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
20,False,"{'e': 1.0, 'a': 0.5}",20,0,-58.63700770074522,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
1,True,"{'e': 1.0, 'a': 0.5}",20,0,-45.30040177156059,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,True,"{'e': 1.0, 'a': 0.5}",30,0,-117.66358786893801,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
3,True,"{'e': 1.0, 'a': 0.5}",25,0,-86.25879340985284,"{0: 12, 1: 7, 2: 6, 3: 0, 4: 0}",0
4,True,"{'e': 1.0, 'a': 0.5}",20,0,-187.60396352399943,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
5,True,"{'e': 1.0, 'a': 0.5}",25,0,-159.75455225079133,"{0: 12, 1: 7, 2: 2, 3: 2, 4: 2}",0
6,True,"{'e': 1.0, 'a': 0.5}",25,9,-56.06483248528213,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
7,True,"{'e': 1.0, 'a': 0.5}",25,0,-178.55520960947604,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
8,True,"{'e': 1.0, 'a': 0.5}",30,0,-90.09783577179142,"{0: 17, 1: 5, 2: 8, 3: 0, 4: 0}",0
9,True,"{'e': 1.0, 'a': 0.5}",20,0,-53.498389715770244,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
10,True,"{'e': 1.0, 'a': 0.5}",30,0,-217.97582130744897,"{0: 14, 1: 5, 2: 7, 3: 1, 4: 3}",0
